interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-23	22:48:44	12	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-23	22:48:44	0	intBus7	1	busSup2	2
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-23	22:48:44	20	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-23	22:48:44	1	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-23	22:48:49	14	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:01:18	17	busSup2	2	busSup2	2
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:02:18	18	busSup2	2	busSup2	2
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-23	23:03:49	15	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:05:46	14	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:06:51	15	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:06:51	14	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:15:36	3	intBus7	1	busSup2	2
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:15:36	15	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:15:43	4	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:15:43	14	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:17:34	3	intBus7	1	busSup2	2
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:17:34	15	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:17:42	4	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:17:42	14	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:17:53	3	intBus7	1	busSup2	2
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:17:53	15	intBus7	1	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:43:54	17	busSup2	2	busSup2	2
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:44:17	7	busSup2	2	intBus7	1
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:53:56	18	busSup2	2	busSup2	2
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2022-06-24	00:53:56	17	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-23	22:34:38	12	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-23	22:34:38	0	intBus6	1	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-23	22:34:39	20	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-23	22:34:38	1	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-23	22:34:41	14	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-23	22:48:20	15	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-23	22:48:25	14	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-23	23:24:29	15	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-23	23:44:06	14	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:04:48	3	intBus6	1	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:04:48	15	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:44:26	17	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:45:38	7	busSup2	2	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:45:39	18	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:45:41	17	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:50:06	18	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:50:25	17	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:53:35	18	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:53:35	17	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:55:12	14	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:56:13	15	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	00:56:13	14	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	01:02:21	15	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	01:02:21	14	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	01:04:53	15	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	01:05:01	14	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	01:05:26	3	intBus6	1	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-24	01:05:26	15	intBus6	1	intBus6	1
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-27	03:26:11	18	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-27	03:26:11	17	busSup2	2	busSup2	2
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2022-06-27	03:26:35	7	busSup2	2	intBus6	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	22:41:00	12	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	22:41:00	0	intBus8	1	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	22:41:01	20	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	22:41:00	1	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	22:41:02	14	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	23:11:17	15	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	23:11:27	14	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	23:13:00	15	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	23:13:03	14	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	23:20:08	15	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	23:46:00	14	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	23:58:07	15	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-23	23:58:42	14	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:11:50	15	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:13:31	14	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:27:10	3	intBus8	1	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:27:10	15	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:33:17	17	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:35:17	18	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:35:17	17	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:37:19	18	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:38:30	17	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:43:41	7	busSup2	2	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:43:41	18	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:43:41	17	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:50:18	18	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:56:00	14	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:57:17	15	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:57:17	14	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	01:00:03	3	intBus8	1	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	01:00:03	15	intBus8	1	intBus8	1
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:54:04	17	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:55:43	18	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-24	00:55:43	17	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-27	04:58:30	18	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-27	04:58:30	17	busSup2	2	busSup2	2
57-10-82-38	557ff391943c4331800a1fdf93898f33	2022-06-27	04:59:06	7	busSup2	2	intBus8	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	00:31:35	12	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	00:31:35	0	intBus5	1	busSup2	2
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	00:31:36	20	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	00:31:35	1	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	00:31:38	14	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	01:03:34	15	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	01:13:46	14	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	01:27:18	15	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	01:27:27	14	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	01:34:59	15	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	02:55:35	14	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	03:09:13	3	intBus5	1	busSup2	2
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-24	03:09:13	15	intBus5	1	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-25	01:41:24	17	busSup2	2	busSup2	2
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-25	01:43:17	7	busSup2	2	intBus5	1
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-25	01:43:17	18	busSup2	2	busSup2	2
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2022-06-25	01:43:53	17	busSup2	2	busSup2	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	02:52:06	12	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	02:52:06	0	intBus4	1	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	02:52:06	20	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	02:52:06	1	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	02:52:08	14	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	03:13:42	15	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	03:14:39	14	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	03:16:35	15	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	03:16:38	14	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	03:24:10	15	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	03:46:52	14	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	03:49:27	3	intBus4	1	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	03:49:27	15	intBus4	1	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	19:34:49	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	19:46:29	18	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	19:46:31	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	19:55:51	18	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	19:55:53	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	19:58:20	7	busSup_1	2	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	19:58:20	18	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	21:11:42	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	21:16:40	5	busSup_1	2	any headquarters	3
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	21:16:40	18	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:14:18	8	hqBus1	3	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:16:19	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:24:10	7	busSup_1	2	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:24:10	18	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:26:35	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:27:50	18	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:27:52	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:29:40	18	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:29:42	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:29:50	5	busSup_1	2	any headquarters	3
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	22:29:50	18	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	23:16:19	8	hqBus1	3	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	23:55:24	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	23:56:44	18	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-28	23:56:46	17	busSup_1	2	busSup_1	2
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-29	00:02:34	7	busSup_1	2	intBus4	1
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2022-06-29	00:02:34	18	busSup_1	2	busSup_1	2
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	01:44:28	12	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	01:44:28	0	intBus6	1	busSup2	2
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	01:44:29	20	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	01:44:28	1	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	01:44:29	14	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	02:42:22	15	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	02:42:27	14	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	03:20:02	15	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	07:37:31	14	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	07:47:45	15	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	07:47:45	14	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	07:49:04	15	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	07:58:32	14	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	07:59:31	3	intBus6	1	busSup2	2
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	07:59:31	15	intBus6	1	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	08:30:05	17	busSup2	2	busSup2	2
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	09:18:40	18	busSup2	2	busSup2	2
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	09:18:43	17	busSup2	2	busSup2	2
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	09:26:10	18	busSup2	2	busSup2	2
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	09:26:10	17	busSup2	2	busSup2	2
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	09:36:26	18	busSup2	2	busSup2	2
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	09:37:03	7	busSup2	2	intBus6	1
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2022-06-28	09:37:16	17	busSup2	2	busSup2	2
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	22:28:22	12	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	22:28:22	0	intBus6	1	busSup2	2
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	22:28:24	20	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	22:28:22	1	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	22:28:26	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	22:34:33	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	22:34:44	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:30:32	3	intBus6	1	busSup2	2
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:30:32	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:31:25	4	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:31:25	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:50:35	3	intBus6	1	busSup2	2
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:50:35	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:50:45	4	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:50:46	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:51:54	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:51:54	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:51:58	3	intBus6	1	busSup2	2
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:51:58	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:52:02	4	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:52:02	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:53:56	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:53:58	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-27	23:56:40	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	00:14:33	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	00:16:04	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	00:18:00	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	00:20:00	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	00:20:04	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	00:35:04	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	01:11:57	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	01:26:57	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	07:35:11	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	07:36:59	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	07:36:59	14	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	07:51:59	15	intBus6	1	intBus6	1
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2022-06-28	07:56:06	14	intBus6	1	intBus6	1
