interview__key	interview__id	ref_yearDetails__id	sales_goods_services	tot_paid_emp	local_emp	foreign_emp	employee_comp	mang_vanmale	skill_vanmale	unskil_vanmale	mang_vanfemale	skill_vanfemale	unskil_vanfemale	mang_formale	skill_formale	unskil_formale	mang_forfemale	skill_forfemale	unskil_forfemale	wage_bill	income_resale	cost_resale	income	expense	utilities_exp__1	utilities_exp__2	utilities_exp__3	utilities_exp__4	utilities_exp__5	utilities_exp__6	utilities_exp__7	transport_cost	equip_cost	contract_opt	contract_cost	utilities_other	other_utilities__0	other_utilities__1	other_utilities__2	other_utilities__3	other_utilities__4	capital_exp	cost_construct	invest_other	other_annInvest__0	other_annInvest__1	other_annInvest__2	other_annInvest__3	other_annInvest__4	capital_inc	inc_construct	other_capassets	other_capGoods__0	other_capGoods__1	other_capGoods__2	other_capGoods__3	other_capGoods__4	rent_recieved	rent_paid	interest_recieved	interest_paid	tax_paid	subsidy
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	1																		36000	0	0	420000	66000	0	1	0	0	0	0	0	16000	0	1	500000	2						0	0	2						0	0	2						0	0	0	0	0	30000
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2																		0	0	0	0	0	0	0	0	0	0	0	1	0	0	2		2						0	0	2						0	0	2						0	0	0	0	0	30000
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	1	2000000	1	1	0	300000	1	0	0	1	0	0	0	0	0	0	0	0	700000	0	5000000	10000000	500000	1	1	1	1	1	1	0	6000	5000	2		2						6000000	500000	2						560000	500000	2						600000	50000	60000000	30000	5000	0
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2	6000000	1	1	0	36000	1	0	0	0	1	0	0	0	0	0	0	0	200000	0	0	60000080	5000000	1	0	1	0	1	1	0	50000	50000	2		2						500000	200000	2						500000	50000000	2						150000	160000	60000	50000	4000	0
57-10-82-38	557ff391943c4331800a1fdf93898f33	1																		0	35000	20000	50000	35000	0	0	0	0	0	1	0	25000	30000	1	100000	1	telecommunications	##N/A##	##N/A##	##N/A##	##N/A##	124000	25000	2						78000	0	2						50000	0	0	0	120000	12000
57-10-82-38	557ff391943c4331800a1fdf93898f33	2																		6000	20000	65000	45000	30000	0	0	0	0	0	1	0	5000	15000	2		2						0	0	2						20000	0	2						0	0	0	0	0	60000
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	1																		216000	240000	0	240000	0	0	0	0	0	0	0	1	0	0	2		2						0	0	2						0	0	2						0	0	0	0	0	120000
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	2																		336000	0	0	360000	0	0	0	0	0	0	0	1	0	0	2		2						0	0	2						0	0	2						0	0	0	0	0	120000
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	1																		16000	0	0	50000	24000	0	1	0	0	0	1	0	10000	-999999999	2		2						12000	0	2						0	0	2						1000	0	0	0	14000	0
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	2																		0	20000	20000	50000	30000	0	1	0	0	0	1	0	10000	0	1	5000	2						0	34000	2						0	36000	2						0	0	0	-999999999	-999999999	-999999999
78-34-46-52	a7a35e8f77894ed288571143c9e41998	1																		100000	0	0	135000	60000	0	1	0	0	0	1	0	11000	0	2		2						0	0	2						0	0	1	courage cutting	##N/A##	##N/A##	##N/A##	##N/A##	0	0	0	0	21000	0
78-34-46-52	a7a35e8f77894ed288571143c9e41998	2																		30000	0	0	150000	50000	0	1	0	0	0	1	0	7000	0	2		2						0	0	1	paying of parts	##N/A##	##N/A##	##N/A##	##N/A##	0	0	2						0	0	0	0	21000	0
67-22-99-76	41e06a5ba955420e98fb8fd9dc0af42d	1																		500000	0	0	500000	200	0	0	0	0	1	0	0	0	0	2		2						0	0	2						0	0	2						0	500	2000	0	0	0
67-22-99-76	41e06a5ba955420e98fb8fd9dc0af42d	2																		60000	0	0	0	4800	0	0	0	0	0	0	1	0	0	2		2						0	200	2						0	0	2						0	500	0	0	0	0
44-67-68-73	7f829621b6164626929c245c06d6c5eb	1																		25000	0	0	200000	60000	1	1	1	0	1	1	0	15000	50000	2		2						0	0	1	pay a piece of land	pigery farm	##N/A##	##N/A##	##N/A##	0	0	2						0	0	0	0	25000	60000
44-67-68-73	7f829621b6164626929c245c06d6c5eb	2																		60000	25000	0	200000	40000	1	1	1	0	1	1	0	16000	1720	1	100000	2						50000	260000	2						90000	0	2						0	5000	0	120000	25000	75000
