interview__key	interview__id	register_id__id	registered_number_business
40-47-74-98	d53d644a6c024be1892f38baf83df86f	1	456732
40-47-74-98	d53d644a6c024be1892f38baf83df86f	2	869045
40-47-74-98	d53d644a6c024be1892f38baf83df86f	3	5693003
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	2	6978561
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	4	3986524
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	1	456732
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	2	869045
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	3	5690836
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	4	589074
57-10-82-38	557ff391943c4331800a1fdf93898f33	1	456732
57-10-82-38	557ff391943c4331800a1fdf93898f33	2	869045
57-10-82-38	557ff391943c4331800a1fdf93898f33	3	5693003
57-10-82-38	557ff391943c4331800a1fdf93898f33	4	-999999999
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	4	109026
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	3	8646901
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	4	3627
78-34-46-52	a7a35e8f77894ed288571143c9e41998	4	5020
50-39-50-18	b7209648f711419dabfb5ff66541bb90	1	109026
50-39-50-18	b7209648f711419dabfb5ff66541bb90	3	1064867
50-39-50-18	b7209648f711419dabfb5ff66541bb90	4	50164
67-22-99-76	41e06a5ba955420e98fb8fd9dc0af42d	4	5800594
44-67-68-73	7f829621b6164626929c245c06d6c5eb	2	106979
